File.Name	Initials	Date	Well.Name	Well.Number	Biological.Replicate	Technical.Replicate	Background	Knockout	Overexpression	Temp	pH	Media	NaCl.Concentration	MgSO4.Concentration	KCl.Concentration	Arg.Concentration	Pyruvate.Concentration	Asp.Concentration	Glycerol.Concentration
ResultsKB201101271.csv	KB	201101271	CM2_NRC1_2.3	155	2	3	NRC1	NA	NA	37	NA	CM	4.28	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_ura3_1.1	156	1	1	Dura3	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_ura3_1.2	157	1	2	Dura3	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_ura3_1.3	158	1	3	Dura3	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_ura3_2.1	159	2	1	Dura3	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_ura3_2.2	162	2	2	Dura3	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_ura3_2.3	163	2	3	Dura3	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_ura3_3.1	164	3	1	Dura3	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_ura3_3.2	165	3	2	Dura3	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_ura3_3.3	166	3	3	Dura3	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_ura3_4.1	167	4	1	Dura3	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
